mag,longitude,latitude,depth,log_soil_polygon_hectares,month_sin,month_cos,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,day,tsunami,magtype,aez,soil_series_grouped,soil_desc_grouped,depth_category
5.94,125.993,7.005,15.0,12.063087094829552,0.8660254037844386,0.5000000000000001,-0.2588190451025208,-0.9659258262890683,-0.433883739117558,-0.9009688679024191,15,0,mw,Lowlands,San Manuel,San Manuel silty clay loam,Shallow
7.21,126.0,8.053,35.0,12.884008925230377,1.2246467991473532e-16,-1.0,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,13,0,mw,Lowlands,Hydrosol,Hydrosol,Shallow
6.0,126.458,7.612,35.0,13.279016894248912,0.49999999999999994,0.8660254037844387,0.7071067811865476,-0.7071067811865475,-0.9749279121818236,-0.2225209339563146,25,0,mw,Highlands,Camansa,Camasan sandy clay loam,Shallow
5.91,122.277,17.14,35.0,15.784614769658228,-0.8660254037844386,0.5000000000000001,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,1,0,mw,Highlands,Mountain soil,Mountain soil (undifferentiated),Shallow
6.1,125.616,10.267,15.0,12.884008925230377,0.49999999999999994,-0.8660254037844387,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,24,0,mw,Lowlands,Hydrosol,Hydrosol,Shallow
6.47,123.889,12.71,15.0,10.387457846096082,-0.4999999999999997,-0.8660254037844388,0.0,1.0,0.0,1.0,13,0,mw,Uplands,Ubay,Other,Shallow
5.86,126.398,7.956,35.0,12.098146706162929,-0.8660254037844386,0.5000000000000001,-0.9659258262890684,0.2588190451025203,0.0,1.0,26,0,mw,Highlands,Camansa,Camansa clay,Shallow
5.77,125.779,8.146,35.0,10.386764816316084,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,8,0,mw,Highlands,Camansa,Other,Shallow
6.11,120.959,18.323,35.0,15.784614769658228,1.2246467991473532e-16,-1.0,-0.2588190451025208,-0.9659258262890683,0.7818314824680298,0.6234898018587336,14,0,mw,Highlands,Mountain soil,Mountain soil (undifferentiated),Shallow
5.82,125.289,12.34,35.0,11.34544259977119,-0.4999999999999997,-0.8660254037844388,-0.8660254037844385,-0.5000000000000004,0.0,1.0,11,0,mw,Lowlands,Other,Other,Shallow
6.09,120.381,16.456,15.0,11.874172790766588,-0.8660254037844385,-0.5000000000000004,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,24,0,mw,Highlands,Other,Other,Shallow
5.86,125.974,7.193,15.0,15.784614769658228,-2.4492935982947064e-16,1.0,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191,16,0,mw,Highlands,Mountain soil,Mountain soil (undifferentiated),Shallow
5.78,120.225,15.745,15.0,10.741830041576469,1.0,6.123233995736766e-17,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,3,0,mw,Uplands,Alaminos,Other,Shallow
5.84,125.21,12.471,35.0,9.435628695684855,-0.8660254037844385,-0.5000000000000004,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336,22,0,mw,Uplands,Lugo,Other,Shallow
5.82,120.851,12.921,35.0,10.47374466989089,-1.0,-1.8369701987210297e-16,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,21,0,mw,Lowlands,Umingan,Other,Shallow
6.14,124.95,5.986,35.0,15.784614769658228,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,17,0,mw,Highlands,Mountain soil,Mountain soil (undifferentiated),Shallow
5.6,121.641,17.988,35.0,8.76601015271289,0.49999999999999994,-0.8660254037844387,0.25881904510252074,0.9659258262890683,0.0,1.0,14,0,mw,Highlands,Other,Other,Shallow
